stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20
CASTROLIND,266.2,0.004441744553836424,2.0627696701910803,1.4919435621758885,True,False,0,11.128531794214835
GLAXO,2766.7,0.004117862907115941,1.822721393026642,1.4716423870708624,True,False,0,97.64985251699686
GESHIP,1301.5,0.004115027893916171,1.8207054952076551,1.4415199995439478,True,False,0,59.83470813474329
AUROPHARMA,1563.15,0.0037425197600118843,1.5679681408071073,1.4362249706176309,True,False,0,38.836123901940994
CROMPTON,465.0,0.004093714745323015,1.805596341437052,1.4336924796102197,True,False,0,14.034068838787416
AVANTIFEED,661.05,0.004013014000581957,1.7491163372924032,1.403659030909922,True,False,0,31.760789856478407
MINDACORP,581.35,0.0037678038486105036,1.584382418769024,1.3763638413463863,True,False,0,16.819759223202837
ZENSARTECH,773.1,0.0037648493357804033,1.5824589659634296,1.2941597498370037,True,False,0,30.396884706972898
SUMICHEM,524.8,0.003659970150681781,1.5150997831459736,1.2653673065329132,True,False,0,18.965820696198577
EPL,244.95,0.0038116616085994938,1.6131038396223425,1.2637041615514775,True,False,0,8.814461534424415
MPHASIS,3103.45,0.003559588301416427,1.4522752129248726,1.2387367222828551,True,False,0,85.93411687046599
SUNTV,809.9,0.0036671525566734755,1.5196561512119895,1.2313820920590126,True,False,0,25.77384567057574
FEDERALBNK,195.92,0.003412266763839858,1.3629036536706423,1.2242832999781146,True,False,0,4.697095196326364
FINCABLES,1440.45,0.004794424428931128,2.347436925350445,1.2219161296589902,True,False,0,60.52965931996331
CRAFTSMAN,6042.4,0.003855533614302321,1.6421539398326894,1.2113263209608898,True,False,0,195.7771583886155
EIDPARRY,815.2,0.003605475370658438,1.4807967863782867,1.2100789003750305,True,False,0,28.67685494876143
HUDCO,293.65,0.004283670844078523,1.943163586658652,1.1945211495255073,True,False,0,15.516474336416746
POLICYBZR,1726.55,0.003563026941722171,1.4544011219634068,1.1912529346398881,True,False,0,68.83783415345926
TVSMOTOR,2751.55,0.003344940862055303,1.3231524947386557,1.1840400785282776,True,False,0,66.69224956156984
ICICIPRULI,742.3,0.0035051757728127627,1.4188792057055903,1.1741445793976222,True,False,0,19.133885286342
JKPAPER,467.95,0.004712715273786037,2.279215605048479,1.1656686504962586,True,False,0,23.131311679830418
ASHOKLEY,253.8,0.0035401323363191198,1.4402813712735019,1.1539887195633836,True,False,0,7.037084151806036
CESC,198.3,0.003610373164607434,1.483860585462513,1.1496743485217458,True,False,0,7.527238822696993
TECHM,1647.35,0.003244902560573213,1.265318676952429,1.1484071378859892,True,False,0,37.12916487291824
KNRCON,333.95,0.004396135074640543,2.0277689822062688,1.147940431527032,True,False,0,16.746866777750043
CHAMBLFERT,508.9,0.003844933109807817,1.6351053011261643,1.1399379213951857,True,False,0,21.471519606835567
FINEORG,5407.35,0.003326711202219517,1.3125047002879255,1.1310390384546558,True,False,0,176.06085312595434
TORNTPHARM,3434.55,0.0032042204950378816,1.242213538471805,1.1173303520931854,True,False,0,82.37554847364235
WELSPUNLIV,196.5,0.0038360139289101555,1.6291892010513727,1.1026606441978044,True,False,0,6.935157491555267
COFORGE,6282.25,0.003529566609236265,1.4337926100378784,1.1013782396925045,True,False,0,174.55464713852257
CAPLIPOINT,1794.45,0.0034754899183049013,1.4008514839525863,1.0997775696677976,True,False,0,63.270749912424726
RKFORGE,964.5,0.003900083575372166,1.6719834478646685,1.0984007117785006,True,False,0,38.42279819502135
IEX,205.71,0.0034119161384488367,1.3626948824016285,1.0953363507127223,True,False,0,6.522471618046188
KPITTECH,1857.85,0.0033630233810682166,1.3337627800126461,1.0879558353660912,True,False,0,69.06934452202063
JYOTHYLAB,539.5,0.0035288569356057807,1.433357394949255,1.0795729878974767,True,False,0,21.044728165826985
CDSL,1431.4,0.0037083752188859774,1.5459670423045537,1.0720743919561158,True,False,0,48.26259595854536
COLPAL,3607.15,0.003320913530529588,1.3091285671316468,1.0608527292314442,True,False,0,70.6151143174225
PATANJALI,1919.95,0.0034277799439994504,1.3721590829270203,1.0232903052840725,True,False,0,57.74297345683715
METROBRAND,1307.85,0.003077891178444166,1.171956940301468,1.0229993459630429,True,False,0,51.402142292983065
HDFCLIFE,736.9,0.0032981256920593207,1.2959063157933408,1.021283427216744,True,False,0,16.849856770838258
INDUSTOWER,446.55,0.003397022623804592,1.3538439169918277,1.0140218485885037,True,False,0,13.727130999449123
TITAGARH,1415.7,0.004614202131423015,2.198810228636789,1.0087655325259348,True,True,1,83.5845744107149
LUPIN,2193.75,0.003437558225091851,1.3780115914811861,1.002547730782499,True,False,0,45.789293728002505
SHRIRAMFIN,3200.5,0.003324926830138514,1.311465089098399,0.9984021742408129,True,False,0,95.92548419162277
JSWINFRA,325.75,0.003586282862675079,1.4688273514123695,0.9731396602796258,True,False,0,11.306269022785521
INOXWIND,219.94,0.004050118366552487,1.7749419508617623,0.9701619837816277,True,False,0,10.44401527740877
NAUKRI,7682.9,0.002945064961991344,1.1004600043286712,0.9546928647672795,True,False,0,212.22996764058348
