stock_name,price_band
NHPC,20
NLCINDIA,20
NMDC,
NSLNISP,20
NTPC,
NH,20
NATIONALUM,
NAVINFLUOR,
NESTLEIND,
NETWORK18,20
NAM-INDIA,20
NUVAMA,20
NUVOCO,20
OBEROIRLTY,
ONGC,
OIL,20
OLECTRA,20
PAYTM,20
OFSS,
POLICYBZR,20
PCBL,20
PIIND,
PNBHOUSING,20
PNCINFRA,20
PVRINOX,
PAGEIND,
PATANJALI,20
PERSISTENT,
PETRONET,
PHOENIXLTD,20
PIDILITIND,
PEL,
PPLPHARMA,20
POLYMED,20
POLYCAB,
POONAWALLA,20
PFC,
POWERGRID,
PRAJIND,20
PRESTIGE,20
PRINCEPIPE,20
PRSMJOHNSN,20
PGHH,20
PNB,
QUESS,20
RRKABEL,20
RBLBANK,
RECLTD,
RHIM,20
RITES,20
RADICO,20
RVNL,20
RAILTEL,20
RAINBOW,20
RAJESHEXPO,20
RKFORGE,20
RCF,20
RATNAMANI,20
RTNINDIA,20
RAYMOND,20
REDINGTON,20
RELIANCE,
RBA,20
ROUTE,10
SBFC,20
SBICARD,
SBILIFE,
SJVN,20
SKFINDIA,20
SRF,
SAFARI,20
SAMMAANCAP,20
MOTHERSON,
SANOFI,20
SAPPHIRE,20
SAREGAMA,20
SCHAEFFLER,20
SCHNEIDER,20
SHREECEM,
RENUKA,20
SHRIRAMFIN,
SHYAMMETL,20
SIEMENS,
SIGNATURE,20
SOBHA,20
SOLARINDS,20
SONACOMS,20
SONATSOFTW,20
STARHEALTH,20
SBIN,
SAIL,
SWSOLAR,5
STLTECH,20
SUMICHEM,20
SPARC,20
SUNPHARMA,
SUNTV,
SUNDARMFIN,20
SUNDRMFAST,20
SUNTECK,20
SUPREMEIND,20
SUVENPHAR,20
SUZLON,5
SWANENERGY,10
SYNGENE,
SYRMA,20
TV18BRDCST,20
TVSMOTOR,
TVSSCS,20
TMB,20
TANLA,20
TATACHEM,
TATACOMM,
TCS,
TATACONSUM,
TATAELXSI,20
TATAINVEST,20
TATAMTRDVR,
TATAMOTORS,
TATAPOWER,
TATASTEEL,
TATATECH,20
TTML,20
TECHM,
TEJASNET,20
NIACL,20
RAMCOCEM,
THERMAX,20
TIMKEN,20
TITAGARH,20
TITAN,
TORNTPHARM,
TORNTPOWER,20
TRENT,
TRIDENT,20
TRIVENI,20
TRITURBINE,20
TIINDIA,20
UCOBANK,20
UNOMINDA,20
UPL,
UTIAMC,20
UJJIVANSFB,20
ULTRACEMCO,
UNIONBANK,20
UBL,
UNITDSPR,
USHAMART,20
VGUARD,20
VIPIND,20
VAIBHAVGBL,20
VTL,20
VARROC,20
VBL,20
MANYAVAR,20
VEDL,
VIJAYA,20
IDEA,
VOLTAS,
WELCORP,20
WELSPUNLIV,20
WESTLIFE,20
WHIRLPOOL,20
WIPRO,
YESBANK,20
ZFCVINDIA,20
ZEEL,20
ZENSARTECH,20
ZOMATO,20
ZYDUSLIFE,
ECLERX,20
