stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
UJJIVANSFB,44.3,0.007378066642900734,532.5041910294607,516.200214071222,True,False,0,1.2543236299790068,1594,70614.2,921736.8899999999
HBLPOWER,177.5,0.0076985766635137955,585.2709804036572,510.44111198793894,True,False,0,5.87932184263383,340,60350.0,982086.8899999999
CEATLTD,2438.9,0.007442601485829216,542.7915945334993,500.8437654857309,True,True,1,83.872998292707,23,56094.700000000004,1038181.5899999999
HEG,1687.0,0.007399374375290299,535.8824885326803,494.80742391261214,True,False,0,55.1282614292675,36,60732.0,1098913.5899999999
CHOLAHLDNG,930.15,0.007507677301973067,553.3346713123111,484.43880192657923,True,False,0,29.144029907053785,68,63250.2,1162163.7899999998
LODHA,740.0,0.006992768445302133,474.4208393685519,439.73433901654226,True,False,0,26.858687901278554,74,54760.0,1216923.7899999998
ZENSARTECH,491.35,0.006904661562026768,461.9065621181499,413.9592592256023,True,False,0,14.75328716987671,135,66332.25,1283256.0399999998
BSE,800.1,0.0066366771887427485,425.4943734263623,397.97029146865236,True,False,0,19.094886150301285,104,83210.40000000001,1366466.4399999997
LTF,132.05,0.006251183999790803,377.21455277568856,361.2008321801358,True,False,0,3.7052439037447518,539,71174.95000000001,1437641.3899999997
MRPL,84.0,0.006333012758560723,387.07756216556976,351.1859479316987,True,False,0,2.9036822213215623,688,57792.0,1495433.3899999997
RVNL,121.25,0.007448361912654099,543.7179498846548,344.2363784219858,True,True,1,4.840144642928112,413,50076.25,1545509.6399999997
GLENMARK,802.5,0.006025939929702973,351.0847187949989,329.6453744139113,True,False,0,17.172945808298024,116,93090.0,1638599.6399999997
GRAPHITE,423.0,0.006042485750177664,352.95447490413824,323.79035063262046,True,False,0,12.493195492977563,160,67680.0,1706279.6399999997
IDFCFIRSTB,83.95,0.005862169082110948,332.98905758454447,316.2309339484654,True,False,0,1.9830165720865607,1008,84621.6,1790901.2399999998
DIXON,4065.0,0.006376359611534505,392.38458544331473,313.6359501738914,True,False,0,120.99557572264851,16,65040.0,1855941.2399999998
INTELLECT,692.6,0.006049485385940954,353.7477979086226,311.65892690542915,True,False,0,17.185772953891085,116,80341.6,1936282.8399999999
ZOMATO,86.8,0.00583466137744521,330.0216388590063,306.06818722749813,True,False,0,2.5296187440596936,790,68572.0,2004854.8399999999
HSCL,136.35,0.006009895922654758,349.2790409025061,299.8933947670575,True,False,0,4.3160874263532305,463,63130.049999999996,2067984.89
NLCINDIA,119.0,0.0055676936980608984,302.2579745368017,288.08328380119247,True,False,0,3.2951195862441987,606,72114.0,2140098.8899999997
PNBHOUSING,617.0,0.005626764254223455,308.2424546680586,284.6131222126383,True,False,0,19.634858956312055,101,62317.0,2202415.8899999997
ACE,696.9,0.00583771796288202,330.3503639097463,284.2268406743103,True,False,0,19.980048010048883,100,69690.0,2272105.8899999997
WELCORP,314.5,0.005498123815060257,295.3222044073853,281.23336737779255,True,False,0,8.831245001234892,226,71077.0,2343182.8899999997
PFC,204.68,0.005553864601637946,300.86965973285754,278.6099004808217,True,False,0,4.56961160322531,437,89445.16,2432628.05
CRAFTSMAN,4675.0,0.0054008562210157915,285.82513212777997,268.97463685865665,True,False,0,138.60272169285562,14,65450.0,2498078.05
CANFINHOME,732.7,0.005408225602546863,286.53661047168623,268.3306672263839,True,False,0,20.84404651372475,95,69606.5,2567684.55
CHOLAFIN,1140.0,0.005538795186913463,299.36228313785216,264.8116943212825,True,False,0,25.94535860724519,77,87780.0,2655464.55
SAFARI,2871.75,0.005398598015259034,285.60737546736203,263.99661240301344,True,False,0,100.65319474612937,19,54563.25,2710027.8
GLS,654.0,0.005550141142764358,300.4966779346802,262.8427902926213,True,False,0,18.596296114770897,107,69978.0,2780005.8
SJVN,55.85,0.005598851264716474,305.40355462332195,255.03004648027374,True,False,0,1.6158719146666036,1237,69086.45,2849092.25
KEI,2440.0,0.005151011955409303,262.4632808076669,253.47257552013642,True,False,0,70.89127587579026,28,68320.0,2917412.25
USHAMART,339.1,0.005368274538168991,282.69518876361286,251.72072635891791,True,False,0,9.516275749104134,210,71211.0,2988623.25
AUROPHARMA,836.2,0.005176293301063748,264.7614255536516,248.7718630458649,True,False,0,18.13790348207238,110,91982.0,3080605.25
HAL,1964.5,0.005202951398440743,267.2005055803878,246.89961612076854,True,False,0,45.96354641099545,43,84473.5,3165078.75
CYIENT,1459.75,0.005314146992524627,277.55148145996407,245.69123805907995,True,False,0,50.19037197669313,39,56930.25,3222009.0
TATAMOTORS,636.0,0.005027642358838552,251.45468207472854,243.3091123354438,True,False,0,11.886151801145088,168,106848.0,3328857.0
